
Epoch 54, loss 10.108018760205292, train accuracy: 87.33%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 55, loss 9.439205218521716, train accuracy: 85.78%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 56, loss 9.99049126237846, train accuracy: 87.11%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 57, loss 10.27446715373415, train accuracy: 85.78%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 58, loss 9.427738904840737, train accuracy: 88.22%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 59, loss 9.743608859916328, train accuracy: 85.78%, Validation accuracy: 65.00%, Best Valid accuracy: 74.00%
Epoch 60, loss 9.146651707674678, train accuracy: 87.11%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 61, loss 9.577323927490944, train accuracy: 86.89%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 62, loss 9.648804541643377, train accuracy: 88.22%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 63, loss 9.259998243981295, train accuracy: 86.00%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 64, loss 9.036492577314505, train accuracy: 85.56%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 65, loss 9.980565746783036, train accuracy: 85.56%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 66, loss 8.936542562855013, train accuracy: 88.44%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 67, loss 9.602133682827198, train accuracy: 86.22%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 68, loss 9.78412654902475, train accuracy: 84.89%, Validation accuracy: 65.00%, Best Valid accuracy: 74.00%
Epoch 69, loss 9.46578203222401, train accuracy: 85.11%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
